NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
1037,F&F,383220,A,A+,A+,B,2024,,,,
1036,F&F 홀딩스,007700,A,A+,A+,A,2024,,,,
1035,GKL,114090,A,A+,A,A,2024,,,,
1034,GS,078930,B+,B+,A,B+,2024,,,,
1033,GS건설,006360,A,A,A+,B+,2024,,,,
1032,GS글로벌,001250,B+,B+,A,B+,2024,,,,
1031,GS리테일,007070,A+,A+,A+,A,2024,,,,
1030,HDC,012630,C,A,A+,D,2024,,,,
1029,HDC랩스,039570,B,C,A,B,2024,,,,
1028,HDC현대EP,089470,B+,B+,A,B+,2024,,,,
1027,HDC현대산업개발,294870,A,A,A+,A,2024,,,,
1026,HD한국조선해양,009540,A,A,A+,A,2024,,,,
1025,HD현대,267250,A,B+,A+,A,2024,,,,
1024,HD현대건설기계,267270,A,A,A+,A,2024,,,,
1023,HD현대마린엔진,071970,C,C,C,C,2024,,,,
1022,HD현대미포,010620,A,A,A+,A,2024,,,,
1021,HD현대에너지솔루션,322000,A,B+,A,A,2024,,,,
1020,HD현대인프라코어,042670,A+,A+,A+,A,2024,,,,
1019,HD현대일렉트릭,267260,A+,A+,A+,A,2024,,,,
1018,HD현대중공업,329180,A,A,A+,B+,2024,,,,
1017,HJ중공업,097230,A,A,A+,B+,2024,,,,
1016,HK이노엔,195940,A+,A,A+,A+,2024,,,,
1015,HL D&I,014790,A+,A+,A+,A,2024,,,,
1014,HLB,028300,B+,B+,B+,B,2024,,,,
1013,HLB글로벌,003580,D,D,D,D,2024,,,,
1012,HLB생명과학,067630,C,D,C,C,2024,,,,
1011,HL만도,204320,A,A,A+,A,2024,,,,
1010,HL홀딩스,060980,A,A,A+,A,2024,,,,
1009,HMM,011200,A,A,A+,A,2024,,,,
1008,HPSP,403870,C,C,D,C,2024,,,,
1007,HS애드,035000,B,C,D,A,2024,,,,
1006,HS화성,002460,C,C,C,B+,2024,,,,
1005,HS효성첨단소재,298050,A,A,A+,B+,2024,,,,
1004,INVENI,015360,B,C,B,B+,2024,,,,
1003,ISC,095340,B,C,B+,B,2024,,,,
1002,JB금융지주,175330,A,A+,A,A,2024,,,,
1001,JW생명과학,234080,B+,B+,A,B,2024,,,,
1000,JW중외제약,001060,B+,B+,A,B+,2024,,,,
999,JW홀딩스,096760,B+,B+,A,B+,2024,,,,
998,JYP Ent.,035900,B,A,A+,C,2024,,,,
997,KB금융,105560,A,A+,A+,A,2024,,,,
996,KB라이프생명보험,839185,등급없음,등급없음,등급없음,A,2024,,,,
995,KB손해보험,002550,등급없음,등급없음,등급없음,A,2024,,,,
994,KCC건설,021320,C,C,D,B,2024,,,,
993,KCI,036670,A,A,A,B+,2024,,,,
992,KC그린홀딩스,009440,B,B,B,B,2024,,,,
991,KC코트렐,119650,C,B,B,C,2024,,,,
990,KEC,092220,C,C,D,C,2024,,,,
989,KG모빌리언스,046440,C,C,A,C,2024,,,,
988,KG모빌리티,003620,C,C,D,C,2024,,,,
987,KG스틸,016380,B,B+,A,C,2024,,,,
986,KG에코솔루션,151860,D,C,D,D,2024,,,,
985,KG이니시스,035600,C,C,B+,D,2024,,,,
984,KG케미칼,001390,C,B+,B,C,2024,,,,
983,KH 필룩스,033180,D,C,D,D,2024,,,,
982,KH바텍,060720,A,A,A+,A,2024,,,,
981,KIB플러그에너지,015590,D,C,D,D,2024,,,,
980,KISCO홀딩스,001940,D,C,D,D,2024,,,,
979,KPX케미칼,025000,D,C,D,D,2024,,,,
978,KPX홀딩스,092230,D,C,D,D,2024,,,,
977,KR모터스,000040,D,D,D,D,2024,,,,
976,KSS해운,044450,B+,B+,A,B+,2024,,,,
975,KTcs,058850,A,A,A+,A,2024,,,,
974,KTis,058860,B+,A,B+,B+,2024,,,,
