companyName,industry,companyType,capital,ceoName,mainBusiness,Homage,affiliates,numberOfEmployees,establishmentDate,revenue,graduateSalary,hasFourInsurances,address
씨아이테크,비디오 및 기타 영상기기 제조업,중소기업,250억 3천만원 (2024.12.31),김대영,"국민연금, 건강보험, 고용보험, 산재보험","서울 송파구 양재대로 932 (가락동, 가락동농수산물도매시장) 가락몰 업무동 11층 동관",씨아이테크그룹 (주)케빅 (주)나이콤 (주)협진 (주)엠오디 (주)로드와이즈 (주)이프랜드,92명 (2024.12.31),1967.01.17 (59년차),181억 3천만원 (2024.12.31),"무인자동증명발급기,KIOSK,도서관리시스템,병원용멀티미디어단말기 제조/컴퓨터 소프트웨어,하드웨어 서버,도매",http://www.citech.kr,N/A
씨에스윈드,육상 금속 골조 구조재 제조업,중견기업,210억 8천만원 (2024.12.31),방성훈,"풍력발전타워(윈드타워) 제조,기술개발",http://www.cswind.com,씨에스윈드그룹 씨에스베어링(주) 제이와이중공업(주) (주)신도솔라 씨에스에너지(주) (주)인천도시철도그린에너지발전소 신재생에너지발전1호(주) (주)캐이와이솔라 (주)캐이지이 (주)그린에너지 (주)케이에스솔라 (주)케이에스그린썬 (주)에코와이더블유 (주)더블유케이그린 (주)와이더블유에너지 (주)더블유에코썬,106명 (2024.12.31),2006.08.17 (20년차),"5,359억 8천만원 (2024.12.31)","5,000만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 언주로 723 (논현동, 씨에스윈드본사) 12층"
씨젠,컴퓨터시스템 통합 자문 및 구축 서비스업,대기업,471억 9천만원 (2024.12.31),현신균,"컨설팅,시스템 구축/운영,토탈 아웃소싱, AI,클라우드,스마트팩토리 등 IT신기술 기반의 DX사업",http://www.lgcns.com,엘지그룹 (주)엘지헬로비전 (주)LG유플러스 에이스냉동공조(주) 해태에이치티비(주) (주)미디어로그 (주)하이프라자 태극제약(주) (주)LG화학 (주)LG생활건강 (주)데이콤크로싱 (주)로보스타 (주)씨에스리더 (주)디앤오 LG전자(주) (주)비즈테크아이 (주)에프엠지 (주)아인텔레서비스 (주)LG 더보기,"6,891명 (2024.12.31)",1987.01.14 (39년차),"5조 4,075억원 (2024.12.31)","5,400만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 영등포구 여의대로 24 (여의도동, 전국경제인연 ."
씨티알모빌리티,그 외 자동차용 신품 부품 제조업,중견기업,43억 5백만원 (2024.12.31),양현철,"국민연금, 건강보험, 고용보험, 산재보험",울산 북구 모듈화산업로 115 (효문동) 씨티알모빌리티,씨티알그룹 (주)씨티알홀딩스 (주)씨티알 (주)씨티알로보틱스 (주)씨티알에너지 포메이션랩스(주) (주)씨티알에코포징,155명 (2024.12.31),1994.02.21 (32년차),"3,277억 6천만원 (2024.12.31)","자동차부품(이너레이스,오디 클러치보스,로터샤프트,슬리브기어,컨트롤 암,엑슬) 제조,도매,수리/부동산 임대",-,N/A
아난티,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
아남전자,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
아모레퍼시픽,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
아모레퍼시픽그룹,화장품 제조업,중견기업,479억 9천만원 (2024.12.31),서경배/이상목,화장품 제조/지주회사,http://www.apgroup.com,아모레퍼시픽그룹 (주)에뛰드 (주)아모스프로페셔널 (주)아모레퍼시픽 농업회사법인(주)오설록농장 (주)코스비전 (주)에스쁘아 (주)이니스프리 (주)그린파트너즈 (주)코어테크놀로지 (주)오설록 (주)코스알엑스 (주)위드림 제이투머로우유한책임회사 (주)퍼시픽테크,66명 (2024.12.31),1959.03.06 (67년차),488억 5천만원 (2024.12.31),"3,500만원","국민연금, 건강보험, 고용보험, 산재보험",서울특별시 용산구 한강대로 100 (한강로2가)
아세아,시멘트 제조업,중견기업,194억 7천만원 (2024.12.31),임경태/김웅종,"국민연금, 건강보험, 고용보험, 산재보험",서울 강남구 논현로 717 (논현동) 아세아빌딩,아세아그룹 한라시멘트(주) (주)에이팩 아세아제지(주) 제일산업(주) 유진판지(주) 아세아(주) (주)부국레미콘 경주월드(주) 아세아레미콘(주) 경산제지(주) 우신벤처투자(주) 아세아산업개발(주) (주)삼성레미콘 에이피리싸이클링(주) (주)부국레미콘대전 농업회사법인아농(주),486명 (2024.12.31),2013.10.02 (13년차),"5,078억 5천만원 (2024.12.31)","시멘트,레미콘,몰탈 제조",http://www.asiacement.co.kr,N/A
아세아시멘트,시멘트 제조업,중견기업,194억 7천만원 (2024.12.31),임경태/김웅종,"국민연금, 건강보험, 고용보험, 산재보험",서울 강남구 논현로 717 (논현동) 아세아빌딩,아세아그룹 한라시멘트(주) (주)에이팩 아세아제지(주) 제일산업(주) 유진판지(주) 아세아(주) (주)부국레미콘 경주월드(주) 아세아레미콘(주) 경산제지(주) 우신벤처투자(주) 아세아산업개발(주) (주)삼성레미콘 에이피리싸이클링(주) (주)부국레미콘대전 농업회사법인아농(주),486명 (2024.12.31),2013.10.02 (13년차),"5,078억 5천만원 (2024.12.31)","시멘트,레미콘,몰탈 제조",http://www.asiacement.co.kr,N/A
